event_id,time,lat,long,mag,mag_type,depth,epi_distance,P_predict,S_predict,catalogued,detected,P_detected,S_detected,P_peak_confidence,peak_confidence
smi:service.iris.edu/fdsnws/event/1/query?eventid=11832077,2024-04-23T15:40:05.079000,38.1576,-30.8347,5.2,Mww,18011.0,2872.7813063987305,2024-04-23T15:45:38.589923,2024-04-23T15:50:13.947963,True,False,,,,
smi:service.iris.edu/fdsnws/event/1/query?eventid=11832031,2024-04-23T13:05:39.336000,50.0999,-28.9704,5.0,mww,9121.0,1921.2748301478007,2024-04-23T13:09:42.848903,2024-04-23T13:13:21.000711,True,True,2024-04-23T13:09:48.950000,,0.7034019827842712,
smi:service.iris.edu/fdsnws/event/1/query?eventid=11831877,2024-04-23T02:20:59.691000,23.8259,121.6333,5.2,Mwr,10000.0,9764.02071281803,2024-04-23T02:33:49.058574,2024-04-23T02:44:32.124338,True,True,2024-04-23T02:33:40.040000,,0.8594319820404053,
smi:service.iris.edu/fdsnws/event/1/query?eventid=11831859,2024-04-23T00:11:02.661000,23.8982,121.5981,5.2,mb,13296.0,9755.27774335335,2024-04-23T00:23:51.101729,2024-04-23T00:34:33.407662,True,False,,,,
smi:service.iris.edu/fdsnws/event/1/query?eventid=11831856,2024-04-23T00:04:05.608000,23.8026,121.6764,5.8,mww,13118.0,9768.402628955932,2024-04-23T00:16:54.643660,2024-04-23T00:27:37.526696,True,False,,,,
,,,,,,,,,,False,True,2024-04-22T23:12:40.960000,,,0.8720729947090149
,,,,,,,,,,False,True,2024-04-22T23:18:19.110000,,,0.7006694674491882
,,,,,,,,,,False,True,,2024-04-22T23:21:43.220000,,0.7394024729728699
,,,,,,,,,,False,True,2024-04-22T23:32:53.070000,,,0.7249960899353027
,,,,,,,,,,False,True,2024-04-23T00:16:35.020000,,,0.798008382320404
,,,,,,,,,,False,True,2024-04-23T00:42:05.200000,,,0.8519448041915894
,,,,,,,,,,False,True,2024-04-23T00:45:21.090000,,,0.7532103061676025
,,,,,,,,,,False,True,2024-04-23T01:10:02.340000,,,0.7704792022705078
,,,,,,,,,,False,True,2024-04-23T01:37:21.970000,,,0.8090802431106567
,,,,,,,,,,False,True,2024-04-23T01:38:06.510000,,,0.7089232206344604
,,,,,,,,,,False,True,,2024-04-23T01:38:06.600000,,0.7133409380912781
,,,,,,,,,,False,True,2024-04-23T02:05:55.080000,,,0.8645885586738586
,,,,,,,,,,False,True,,2024-04-23T02:05:55.470000,,0.7293315529823303
,,,,,,,,,,False,True,,2024-04-23T03:29:21.030000,,0.8043956756591797
,,,,,,,,,,False,True,,2024-04-23T03:37:43.680000,,0.7912818193435669
,,,,,,,,,,False,True,2024-04-23T03:39:10.020000,,,0.8077927827835083
,,,,,,,,,,False,True,2024-04-23T03:42:07,,,0.8769680261611938
,,,,,,,,,,False,True,2024-04-23T04:55:06,,,0.8167385458946228
,,,,,,,,,,False,True,2024-04-23T05:00:36.010000,,,0.8220395445823669
,,,,,,,,,,False,True,2024-04-23T05:06:26.120000,,,0.7432765364646912
,,,,,,,,,,False,True,2024-04-23T05:11:07.950000,,,0.7777223587036133
,,,,,,,,,,False,True,2024-04-23T05:21:25.970000,,,0.8166208863258362
,,,,,,,,,,False,True,2024-04-23T05:48:07.020000,,,0.8670127987861633
,,,,,,,,,,False,True,2024-04-23T05:49:22.960000,,,0.7401464581489563
,,,,,,,,,,False,True,,2024-04-23T05:49:23.390000,,0.8058132529258728
