peak_time,peak_confidence,phase
2024-04-22T23:12:40.960000Z,0.872073,P
2024-04-22T23:18:19.110000Z,0.70066947,P
2024-04-22T23:21:43.220000Z,0.7394025,S
2024-04-22T23:32:53.070000Z,0.7249961,P
2024-04-23T00:16:35.020000Z,0.7980084,P
2024-04-23T00:42:05.200000Z,0.8519448,P
2024-04-23T00:45:21.090000Z,0.7532103,P
2024-04-23T01:10:02.340000Z,0.7704792,P
2024-04-23T01:37:21.970000Z,0.80908024,P
2024-04-23T01:38:06.510000Z,0.7089232,P
2024-04-23T01:38:06.600000Z,0.71334094,S
2024-04-23T02:05:55.080000Z,0.86458856,P
2024-04-23T02:05:55.470000Z,0.72933155,S
2024-04-23T02:33:40.040000Z,0.859432,P
2024-04-23T03:29:21.030000Z,0.8043957,S
2024-04-23T03:37:43.680000Z,0.7912818,S
2024-04-23T03:39:10.020000Z,0.8077928,P
2024-04-23T03:42:07.000000Z,0.876968,P
2024-04-23T04:55:06.000000Z,0.81673855,P
2024-04-23T05:00:36.010000Z,0.82203954,P
2024-04-23T05:06:26.120000Z,0.74327654,P
2024-04-23T05:11:07.950000Z,0.77772236,P
2024-04-23T05:21:25.970000Z,0.8166209,P
2024-04-23T05:48:07.020000Z,0.8670128,P
2024-04-23T05:49:22.960000Z,0.74014646,P
2024-04-23T05:49:23.390000Z,0.80581325,S
2024-04-23T05:52:43.180000Z,0.87198365,P
2024-04-23T05:52:43.690000Z,0.7451073,S
2024-04-23T05:52:58.380000Z,0.84727097,P
2024-04-23T05:55:20.210000Z,0.7641512,P
2024-04-23T05:55:20.600000Z,0.7423979,S
2024-04-23T05:56:04.940000Z,0.7630695,P
2024-04-23T05:56:55.940000Z,0.772108,P
2024-04-23T05:56:56.340000Z,0.743742,S
2024-04-23T05:58:18.150000Z,0.7081347,P
2024-04-23T05:58:18.780000Z,0.73882675,S
2024-04-23T06:03:07.290000Z,0.704413,P
2024-04-23T06:03:35.020000Z,0.81928194,P
2024-04-23T06:09:37.060000Z,0.8324573,P
2024-04-23T06:09:37.550000Z,0.7886961,S
2024-04-23T06:13:05.190000Z,0.73500234,S
2024-04-23T06:17:09.000000Z,0.8391143,P
2024-04-23T06:17:09.530000Z,0.71146154,S
2024-04-23T06:22:42.590000Z,0.74729866,P
2024-04-23T06:22:42.880000Z,0.7781348,S
2024-04-23T06:26:12.250000Z,0.8579703,P
2024-04-23T06:35:11.970000Z,0.7480071,P
2024-04-23T06:35:12.730000Z,0.7889988,S
2024-04-23T06:35:20.680000Z,0.73595524,S
2024-04-23T06:35:54.440000Z,0.75728035,S
2024-04-23T06:42:42.610000Z,0.73705375,S
2024-04-23T06:45:10.500000Z,0.7040429,S
2024-04-23T06:46:03.090000Z,0.7404488,S
2024-04-23T06:46:24.720000Z,0.8443229,P
2024-04-23T06:46:25.380000Z,0.8410479,S
2024-04-23T06:55:59.140000Z,0.77771807,S
2024-04-23T07:10:50.060000Z,0.8621874,P
2024-04-23T07:10:50.810000Z,0.7823645,S
2024-04-23T07:13:06.000000Z,0.7328532,P
2024-04-23T07:19:36.000000Z,0.7162515,P
2024-04-23T07:22:09.000000Z,0.86880547,P
2024-04-23T07:23:36.000000Z,0.81514555,P
2024-04-23T07:33:09.010000Z,0.77844864,P
2024-04-23T07:34:20.940000Z,0.7491255,P
2024-04-23T07:37:45.040000Z,0.77442515,P
2024-04-23T07:37:45.620000Z,0.8146092,S
2024-04-23T07:47:12.200000Z,0.7638122,P
2024-04-23T08:02:54.990000Z,0.7201456,P
2024-04-23T08:02:55.530000Z,0.74790096,S
2024-04-23T08:03:22.980000Z,0.7302525,P
2024-04-23T08:12:23.080000Z,0.84540915,P
2024-04-23T08:13:46.440000Z,0.7955499,P
